0	0
209	0.15
418	0.33
601	0.49
809	0.68
999	0.85
1188	1.01
1419	1.22
1599	1.37
1798	1.55
2034	1.76
2215	1.92
2403	2.08
2624	2.28
2836	2.46
3050	2.65

